title,price,published,acreage,address
Phòng trọ bao điện nước Quận 6,2.5,05/01/2016,14.0,"69/4 Phạm Văn Chí, Phường 1, Quận 6, TP.HCM"
Phòng trọ Q4 - CÓ GÁC - FULL NỘI THẤT - sạch đẹp,4.0,03/04/2021,18.0,"Số 13A Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
KHU TRỌ MỚI XÂY DẠNG CHUNG CƯ MINI – QUẬN 4 (MỚI 100%),2.7,10/12/2020,16.0,"B156/20 Đường Nguyễn Thần Hiến, Phường 18, Quận 4, Hồ Chí Minh"
"Còn 1 phòng trống quận 4, Giá 1tr3 + Ngày 04/10/2020 còn 1 phòng nhỏ 9m2 - 1 người ở cho nam thuê",1.3,10/10/2020,9.0,"424/27 Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
"Phòng trọ Q4 có gác FULL NỘI THẤT sạch, thoáng mát, an ninh",4.5,03/04/2021,23.0,"13A Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
"Phòng Máy Lạnh Cho ( NAM ) SV/NVVP thuê -phòng máy lạnh 24m2 sạch, đẹp, có thể ở 2 đến 3 người,",2.5,14/01/2021,24.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
Cho Thuê Phòng nhà mặt tiền đường Đoàn Văn Bơ,2.0,18/01/2021,20.0,"667 Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
"PHÒNG TRỌ Q4, CÓ GÁC LỬNG, MÁY LẠNH",3.0,12/04/2021,19.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
"Phòng Chung Cư Hoàng Anh Gia Lai 1, Gần ĐH TDT,RMIT, NTT, Phú Mỹ Hưng",4.0,06/04/2022,30.0,"Đường Lê Văn Lương, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Cho thuê phòng nội thất cao cấp quận 7. Miễn phí dịch vụ ( rác, vệ sinh, wifi )",8.0,12/04/2022,35.0,"Đường số 85, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Cho thuê phòng trọ Tân Quy, Đường số 7 giá thuê chỉ 3 Triệu/Tháng",3.0,22/04/2022,18.0,"Đường số 79, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Studio ban công cửa sổ Mai Văn Vĩnh đầy đủ nội thất mới xây 100%,3.8,10/05/2022,25.0,"Phố số 49, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Phòng dịch vụ : 2tr2 gần Lotte Mart: máy lạnh, giường, thang máy",2.2,10/05/2022,18.0,"34 Phố số 36, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Phòng mới xây Quận 7 sát vách các trường Đại học,5.0,14/04/2022,25.0,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"DomusHome Hệ Thống Duplex-Studio Ban Công, Cửa Sổ đường Nguyễn Thị Thập Q.7 Nội Thất cơ bản - Đầy Đủ Cạnh Sân Golf",5.5,24/04/2022,30.0,"71 Đường số 53, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Giá thuê Phòng mới keng ngay Mai Văn Vĩnh Quận 7,3.7,22/04/2022,25.0,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Cho thuê phòng tại hẻm 184 Đặng Văn Ngữ, P.14, Q.Phú Nhuận, giá 2,5tr/tháng. LH: Mr Dũng",2.5,13/06/2019,13.0,"184/4 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"(Ảnh thật) Phòng cho thuê Đặng Văn Ngữ, Phú Nhuận",3.5,03/12/2019,14.0,"Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"PHÒNG CAO CẤP FULL NỘI THẤT, MỚI XÂY, BAN CÔNG, NHIỀU CỬA SỔ, SÀN GỖ ĐẸP QUẬN PHÚ NHUẬN",7.0,04/12/2019,35.0,"172/35 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Còn 1 phòng duy nhất đầy đủ nội thất như khách sạn tại 533/79 Huỳnh Văn Bánh, Phú Nhuận",5.1,18/11/2019,16.0,"533/79 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Cho thuê phòng trọ 30m2, phòng mới sạch đẹp, Phú Nhuận",3.5,08/10/2019,30.0,"529/136 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
PHÒNG FULL NỘI THẤT 28M2 LÊ VĂN SỸ,4.7,18/08/2019,28.0,"339/21 Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Cho Nữ thuê phòng đẹp có ban công, Phú Nhuận",5.0,24/12/2019,25.0,"452/8 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Cho thuê phòng trọ Phú Nhuận đầy đủ nội thất, sạch đẹp, an ninh, giờ tự do",5.0,06/08/2019,30.0,"Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
CHO THUÊ PHÒNG SV NỮ Ở GHÉP Q.4- 3TR/THÁNG,3.0,23/08/2016,45.0,"58/24/5 Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
Cho Thuê Phòng trọ đẹp giá rẻ bao điện nước internet hẻm an ninh. Có chỗ để xe,1.5,20/04/2018,15.0,"671/7 Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
"CHO SINH VIÊN THUÊ PHÒNG QUẬN 4, GẦN CÁC TRƯỜNG ĐẠI HỌC LUẬT, TÀI CHÍNH MARKETING, NGUYỄN TẤT THÀNH, TÔN ĐỨC THẮNG",3.5,16/02/2016,25.0,"09 Tôn Thất Thuyết, P.18, Quận 4, TP.HCM"
"Cho thuê Phòng Trọ Cao Cấp hẻm 58 Tôn Thất Thuyết, Quận 4",3.5,19/03/2017,30.0,"874/14/17 Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
Nhà mới phòng mới đẹp sach sẽ đầy đủ tiện nghi,3.0,25/01/2017,20.0,"Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
"Phòng trọ quận 4, gần quận 1,3,7. Trường ĐH Nguyễn Tất Thành, nhiều xe bus đến Bến Thành",2.0,26/10/2016,12.0,"878, Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
"CHO THUÊ PHÒNG TRỌ MỚI XÂ, GIỜ GIẤC TỰ DO, CÓ KHOA VÂN TAY AN NINH - Quận 4",3.5,22/03/2017,40.0,"Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
"Phòng trọ cho nhân viên văn phòng, sinh viên, hộ gia đình",4.0,11/10/2017,35.0,"49 Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
Cần cho sinh viên nữ thuê phòng,3.0,12/06/2019,20.0,"Đường Nguyễn Thần Hiến, Phường 18, Quận 4, Hồ Chí Minh"
CHO THUÊ PHÒNG SINH VIÊN – NỮ CÔNG NHÂN,2.0,02/11/2018,8.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
"Cho thuê phòng trọ Quận 4, 878 Đoàn Văn Bơ 34m2",2.1,22/11/2018,34.0,"Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
PHÒNG 25M2 MỚI XÂY 100% - CÓ GÁC LỬNG - FULL TIỆN NGHI ĐƯỜNG NGUYỄN TẤT THÀNH - 4 TRIỆU/THÁNG,4.0,04/01/2019,25.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
"Phòng trọ full nội thất giá rẻ, ngay cầu Tân Thuận",4.5,02/11/2019,28.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
Phòng trọ MỚI XÂY có gác có máy lạnh,4.5,16/05/2019,32.0,"Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
PHÒNG 25M2 CÓ GÁC - ĐẦY ĐỦ TIỆN NGHI ĐƯỜNG TÔN THẤT THUYẾT - 4TR/THÁNG,4.0,04/01/2019,25.0,"Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
Phòng trọ cho nữ sinh viên hoặc nữ nhân viên văn phòng,3.5,30/10/2019,16.0,"699 Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh"
"Cho Thuê Phòng Tiện nghi cao cấp sạch sẽ, giá từ 2tr5-4tr5",4.5,17/02/2020,25.0,"Số 18 Đường số 16, Phường 18, Quận 4, Hồ Chí Minh"
"PHÒNG ĐẸP, MỚI XÂY, BAN CÔNG, PHÒNG BẾP RIÊNG, ĐẦY ĐỦ TIỆN NGHI Q.PHÚ NHUẬN",7.5,06/01/2020,35.0,"541/46 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"BUNKA HOUSE 460 - Ký túc xá khu vực Quận 1, Quận 4, Quận 7",1.5,29/09/2020,30.0,"460C Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
"Hiện còn 2 phòng nhỏ 1 người ở cho nam thuê - giá 1trieu3/tháng, 424/27 Ng Tất Thành, P.18, Q.4 -1trieu5/tháng",1.2,18/06/2020,9.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh"
CHO THUÊ PHONG TRỌ - HUỲNH VĂN BÁNH - PHÚ NHUẬN,6.0,05/01/2020,25.0,"Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng trọ Quận 4 có gác, view sông, gần trung tâm giờ giấc tự do",4.0,09/03/2020,20.0,"13A Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh"
"Cho Thuê Phòng Full Nội Thất Đặng Văn Ngữ, Phú Nhuận",5.5,14/02/2020,30.0,"184/3 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
CĂN HỘ 1 PHÒNG NGỦ RIÊNG VÀ 1 PHÒNG BẾP FULL NỘI THẤT Q.PHÚ NHUẬN 35M2,7.0,08/02/2020,35.0,"541/46a Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Cho thuê phòng Full nội thất 20m2 Ngay Đặng Văn Ngữ, Q.Phú Nhuận. Giá từ 4.7tr/tháng",4.7,09/05/2020,20.0,"122/10 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
Phòng trọ ban công 28m² - full nội thất - Quận Phú Nhuận,5.9,07/07/2020,28.0,"122/10 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng 35m2 máy lạnh, tolet riêng lối đi riêng",4.5,13/08/2020,35.0,"Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
CĂN HỘ MINI - PHÚ NHUẬN - BAN CÔNG & CỬA SỔ,5.9,07/07/2020,28.0,"122/10 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng trọ trung tâm, có gác, máy lạnh, 20m2, 35m2, tolet riêng",3.8,18/08/2020,18.0,"Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng trọ Huỳnh Văn Bánh Quận Phú Nhuận, có gác, có máy lạnh, diện tích 20m2",4.0,13/08/2020,20.0,"452/14 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng trọ đường Huỳnh Văn Bánh Quận Phú Nhuận, 35m2, có lối đi riêng",4.3,23/08/2020,35.0,"452/14 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng trọ phú nhuận, có tolet, máy lạnh, cửa xổ, wifi, máy giặt",3.5,24/10/2020,18.0,"Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh"
"Phòng giá rẻ sạch sẽ cách Lotte chưa tới 1km. Phòng 25m2 có gác, giá thuê 3,5 Triệu/Tháng",3.5,12/05/2022,25.0,"Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Phòng trọ cao cấp gần Lotte, BV 24/24, hầm để xe, thang máy, free máy giặt, wifi, cáp, giá 3tr-6tr",3.0,14/05/2022,20.0,"83A Phố số 49, Phường Tân Quy, Quận 7, Hồ Chí Minh"
️️Phòng Rộng Rãi Có Gác Thang Máy Sát Lotte Quận 7️️. Giá thuê chỉ từ 3tr3 đến 3tr5/tháng,3.5,12/05/2022,20.0,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Phòng trọ có gác mới xây sát lotte quận 7,3.6,15/05/2022,20.0,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Mai Văn Vĩnh Quận 7,DupLex/Studio Mới Xây Giảm 1tr2, dọn vào ở ngay",4.8,18/05/2022,30.0,"Đường số 85, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Cho thuê phòng trọ mới xây Phường Tân Quy cách Lotte 900M,4.8,17/05/2022,30.0,"Đường số 79, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Phòng mới xây 3' đi Lotte Mart Q7 - full tiện nghi - CỬA SỔ thoáng mát,3.5,12/05/2022,25.0,"Lâm Văn Bền, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Phòng trọ mới đầy đủ tiện nghi cách Lotte Mart Quận 7 chưa tới 5 phút,3.0,19/05/2022,20.0,"Đường số 34, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Cho thuê phòng trọ quận 7 ngay khu chế xuất Tân thuận, phòng có gác có cửa sổ",3.2,29/12/2021,20.0,"Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Phòng có ban công full nội thất Tân Quy,2.5,12/06/2022,15.0,"77 53, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Cho thuê phòng trọ tại 44 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7 ngay KCX Tân Thuận",2.8,26/12/2021,24.0,"44 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Phòng Q.7 gần LOTTE (ban công lớn, cửa sổ lớn thoáng mát)",3.6,04/06/2022,25.0,"Đường 8, Phường Tân Quy, Quận 7, Hồ Chí Minh"
"Phòng sạch sẽ, giá rẻ Bùi Văn Ba gần KCX Tân Thuận. Alo xem phòng: 0776617356",2.3,06/01/2022,15.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Cho Thuê phòng quận 7 , ngay khu xuất tân Thuận , có gác có cửa sổ",3.3,29/12/2021,20.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"DUPLEX Full nội thất P.Tân Quy Q.7, Domus Home",4.7,20/05/2022,30.0,"Đường số 85, Phường Tân Quy, Quận 7, Hồ Chí Minh"
Phòng có gác mới tinh có máy lạnh lotte Q7,4.0,13/06/2022,20.0,"Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh"
( HÌNH THẬT 100%) QUẬN 10 Căn Hộ 30m2,6.0,03/04/2022,35.0,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
"Cho thuê phòng trọ tại Bùi Văn Ba số 98/82 Phường Tân Thuận Đông, Quận 7 phòng mới",2.5,05/02/2022,13.0,"98 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Hổ trợ cọc, giữ phòng qua tết. Gác 1m6 gần ĐH Bách Khoa Quận 10, ngay vòng xoay Lê Đại Hành",3.9,23/01/2022,25.0,"Phố Lý Thường Kiệt, Phường 15, Quận 10, Hồ Chí Minh"
Phòng - Căn Hộ 2 Phòng Ngủ QUẬN 10 ( Đối Diện Công Viê Lê Thị Riêng ),7.0,03/04/2022,50.0,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
[CHỈ 5tr]Phòng Duplex sát CV Lê Thị Riêng Q10 ở liền được,5.0,25/03/2022,28.0,"Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
KTX chỉ 900k/tháng ngay trung tâm quận 10,1.15,15/04/2022,60.0,"50 Cư Xá Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh"
"Lì Xì Tiền Phòng Tháng 1, Phòng thuê ngay KCX Tân Thuận - GẦN ĐH NTT Q4.",3.0,18/01/2022,25.0,"118/17 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Phòng trọ có gác siêu rộng và ban công ngay công viên Lê Thị Riêng,4.5,15/04/2022,30.0,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
"Cho thuê phòng trọ 24m2 ngay KCX Tân Thuận Quận 7. Giá thuê từ 2,5tr -2,8/tháng",2.6,09/02/2022,24.0,"44 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"GIÁ ƯU ĐÃI MÙA DỊCH-Phòng gác lửng, Ban công thoáng, Máy lạnh 457 H Tấn Phát Quận 7 gần Big C, KCX Tân Thuận Q7",3.5,08/02/2022,25.0,"457 Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Phòng Trọ Unicorn Quận 7 Siêu Đẹp đa dạng các loại phòng từ tiêu chuẩn đến cao cấp rộng từ 15m2 đến 30m2 Chỉ từ 4 Triệu,4.0,10/02/2022,20.0,"76 Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Cho thuê phòng trọ gần KCX Tân Thuận chỉ 2tr,2.0,16/02/2022,16.0,"Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Cho thuê phòng Đẹp Giá Rẻ tại Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7",4.0,28/02/2022,40.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Cho Thuê Phòng Siêu Rộng 40m2, Ở Được 4 5 Người & Xe Máy, Giờ Giấc Tự Do, Được Nuôi Cún",4.0,26/02/2022,40.0,"Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Chính chủ cho thuê phòng trọ Khu Dân Cư cao cấp quận 7,4.2,27/03/2022,33.0,"đường số 12 12, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Cho thuê phòng trọ tại Quận 7 - Giá thuê chỉ từ 2.500.000 VND,2.5,05/04/2022,20.0,"487/35 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Cho thuê căn hộ mini có trang bị máy giặt tự động, rộng 20m2 + gác lửng 8m2, Giá thuê phòng từ 3.5 tr/tháng - 5tr/tháng",4.5,08/04/2022,11.0,"87 Đường số 10, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Cho Thuê Phòng Trọ, Nhà Trọ Giá Rẻ Quận 7 Mới Nhất 2022 Phòng Mới 100%",4.0,16/04/2022,22.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
"Phòng trọ an ninh Quận 7 full nội thất, 30m2, gần khu chế xuất Tân Thuận",4.2,09/04/2022,30.0,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Khai Trương Phòng Trọ Cao Cấp Sẵn Nội Thất Ngay KCX Tân Thuận - Nhà Thi Đấu Đa Năng,4.0,15/04/2022,32.0,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Duplex ban công Quận 7 _full nội thất_gần bệnh viện Quận 7_khu chế xuất Tân Thuận_cầu Phú Mỹ_Lotte,4.2,09/04/2022,30.0,"Nguyễn Thị Thập, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Cho Thuê Phòng Ở Ghép Gía Sinh Viên Ngay Quận 10,0.85,25/04/2022,35.0,"52 Cư Xá Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh"
CHO THUÊ PHÒNG TRỌ CAO CẤP TẠI TRUNG TÂM QUẬN 10 ( ĐÃ HẾT PHÒNG),2.5,19/04/2022,20.0,"601/36/16 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
Phòng trọ tại Quận 10 có gác lững giá từ giá 2tr3/Tháng đến 2tr5/tháng cho Nữ thuê,2.5,18/05/2022,11.0,"623/69 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
"Ký túc xá 1.150k/tháng ngay Trường Sơn, Phường 15, Quận 10",0.9500000000000001,04/05/2022,35.0,"4 Đường Trường Sơn, Phường 15, Quận 10, Hồ Chí Minh"
"Cho thuê phòng trọ, giờ giấc tự do, đường CMT8",1.5,17/05/2022,12.0,"Hẻm 601 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
"Phòng trọ giá rẻ gần huflit, bách khoa, đh Phạm Ngọc Thạch",3.8,15/05/2022,20.0,"575/8 Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
"PHÒNG 25m2 SẠCH ĐẸP, THOÁNG MÁT NGAY LÝ THƯỜNG KIỆT",2.8,26/05/2022,25.0,"7/24 Lý Thường Kiệt, Phường 15, Quận 10, Hồ Chí Minh"
"Ktx chỉ 1.150k/tháng bao trọn phí sinh hoạt tại 52 Nguyễn Giản Thanh, Phường 15, Quận 10",1.15,26/05/2022,35.0,"52 Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh"
"Phòng ban công , Nguyễn Giản Thanh, quận 10.",2.3,18/05/2022,16.0,"40/... Đường Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh"
Phòng trọ cao cấp Quận 7_ban công đầy đủ nội thất_Giáp Quận 4_chân cầu Tân Thuận_nhà thi đấu đa năng,4.2,10/04/2022,30.0,"Đường Nguyễn Thị Thập, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
KTX Cao Cấp Happy House chỉ 700k tháng đầu. ( Giá gôc: 1150k),1.15,03/06/2022,50.0,"52 Đường Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh"
Phòng trọ ở ghép giảm 300k - 500k 2 tháng đầu cho chi nhánh mới Q10,1.15,26/05/2022,60.0,"60 Tam Đảo, Phường 15, Quận 10, Hồ Chí Minh"
KTX Quận 10 Giá 1.150.000 đ/tháng( Ưu đãi tháng đầu tiên),1.15,31/05/2022,50.0,"52 Đường Cư Xá Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh"
Cho thuê phòng trọ tại Quận 10 Giờ giấc tự do giá 4 triệu/Tháng,4.0,03/06/2022,25.0,"Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
"Cho thuê phòng trọ, Đào Sư Tích, Nhà Bè",1.6,12/12/2015,12.0,"214/2/21 Đường Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, TP.HCM"
"Cần cho thuê phòng trọ quận 10, giờ giấc tự do. Giá thuê 4 Triệu/Tháng",4.0,01/06/2022,25.0,"Hẻm 601 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh"
CHO THUÊ PHÒNG TRỌ MỚI TIỆN NGHI GIÁ 900K. ĐƯỜNG LÊ VĂN LƯƠNG - ĐÀO SƯ TÍCH,0.9,13/03/2016,25.0,411/9 Đào Sư Tích - Phước Lộc - Nhà bè (Cách đầu đường Lê Văn Lương khoảng 2km)
PHÒNG TRỌ MỚI XÂY CHO THUÊ SẠCH ĐẸP,1.5,28/09/2020,20.0,"438 Đường Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
Phòng Trọ Mới Xây Sạch Sẽ An Ninh Gần Chợ Xã Phước Lộc,1.5,14/05/2020,20.0,"438 Đường Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
"Phòng cao cấp cho thuê (bao điện, nước, wifi)",3.5,20/02/2020,30.0,"26/4 Đường Phạm Hùng, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
Nhà Trọ Mới Xây gần Chợ Xã Phước Lộc Sạch Đẹp An Ninh,1.5,24/11/2020,22.0,"438/ Đường Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
"Cho thuê phòng mới 100% giá như cho , full nội thất",3.7,08/08/2020,24.0,"79 Đường Phạm Hùng, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
PHÒNG TRỌ GIÁ RẺ TRONG CĂN HỘ DỊCH VỤ,3.0,03/01/2020,20.0,"Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
Cho thuê phòng trọ full nội thất 2 ban công,4.2,28/04/2020,30.0,"73-74-75 Đường Bờ Tây, Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
"Cho thuê phòng trọ mới xây, giá trẻ",2.5,09/01/2018,20.0,"Xã Phước Lộc, Huyện Nhà Bè, Hồ Chí Minh"
